"","X1","X2","MeanDecreaseAccuracy","MeanDecreaseGini"
"Archangiaceae",0.608038715963024,-0.805480327321306,0.296464588598773,0.109132156978096
"Anaeromyxobacteraceae",1.92388879555026,-2.05222732037959,-0.0615441107666085,0.0561369020171832
"Polyangiaceae",0.951339282914097,-1.52612903430359,-0.662808988962549,0.11984457899822
"Geobacteraceae",1.7314111325934,-0.712272062274291,0.970640391567767,0.144219641519559
"Desulfovibrionaceae",1.08292746897114,-1.72524704639524,-0.43760882377145,0.120257467059305
"Desulfomicrobiaceae",0.31621689210087,-0.762959187005182,-0.322437902298315,0.0200525869592306
"Desulfobacteraceae",1.49672686789625,0.0212200064677478,0.993027895434494,0.148911102072337
"Desulfobulbaceae",-1.14637726517243,-1.75422558698367,-1.94092333685746,0.059245611135534
"Syntrophaceae",-1.24581836738699,-0.584076001314069,-1.40185262280413,0.0461040854470951
"Desulfurellaceae",-2.56821058345702,-1.60903485319451,-2.61463286488175,0.0327472460018
"Campylobacteraceae",-0.140179393341005,-3.58846258532836,-2.53623209753896,0.22066099108014
"Helicobacteraceae",2.84321840223481,-0.429068725119983,1.64339009738355,0.172100414693138
"Bdellovibrionaceae",-2.34111700640281,0.384445804733667,-1.1975389734983,0.0720629148498593
"Acidithiobacillaceae",-0.864402510292576,-1.9315812988578,-2.123348875655,0.0484945278727267
"Bacillaceae",-0.257952721511992,-2.13378288340145,-1.56894961914087,0.19934193626532
"Staphylococcaceae",-0.950112871731405,-0.779031365830967,-0.998116147999935,0.218862146541793
"Paenibacillaceae",4.827023360012,-2.4739621421629,1.79408899005026,0.231656624559689
"Alicyclobacillaceae",-0.908326593744302,-3.13735333432759,-2.26985449533716,0.0700031287681597
"Planococcaceae",4.39722390394185,-0.821053524131156,2.64587266388034,0.183800153005227
"Listeriaceae",-0.658077621339324,-0.358639700773366,-0.5521353108899,0.114537924661672
"Streptococcaceae",-0.806582692758124,-3.99830751931556,-3.15609329888932,0.19346070729666
"Lactobacillaceae",0.573324187471276,-2.9919622467193,-1.30448826339741,0.197245763829106
"Enterococcaceae",1.56906769651912,-0.41127877871499,0.953235686368696,0.164483893324672
